building,point,view
woodbine,1751,6
klickitat,354,4
stockman,1603,1
stockman,615,2
wainscott,1251,5
lakeville,246,5
hiteman,755,0
newfields,1135,3
wainscott,271,5
wainscott,1373,1
klickitat,456,2
lindenwood,2644,8
lakeville,866,11
pinesdale,801,4
leonardo,632,1
pomaria,291,1
lindenwood,668,4
allensville,408,5
lakeville,1220,4
tolstoy,516,4
wainscott,1077,4
lindenwood,1945,0
klickitat,1609,3
marstons,1810,4
klickitat,1410,3
lindenwood,869,2
onaga,601,0
leonardo,658,5
newfields,1476,10
forkland,587,0
pomaria,327,2
wainscott,232,11
hiteman,217,3
wainscott,1210,0
lindenwood,2269,3
marstons,1342,2
leonardo,1039,6
pomaria,169,1
benevolence,212,6
lakeville,861,1
tolstoy,542,5
lindenwood,963,4
coffeen,785,5
leonardo,1867,0
wainscott,846,0
marstons,1898,9
ranchester,1036,2
forkland,797,4
marstons,504,7
hiteman,1069,4
wainscott,570,5
onaga,412,3
klickitat,797,9
stockman,1461,9
shelbyville,1757,2
hanson,1327,5
lindenwood,2204,2
pomaria,484,2
marstons,1617,5
lindenwood,1294,3
klickitat,1279,12
ranchester,1287,1
marstons,1247,1
hiteman,983,1
lakeville,1306,0
pinesdale,1466,2
tolstoy,727,8
shelbyville,1251,10
lakeville,387,0
beechwood,1045,0
hiteman,773,3
ranchester,847,1
marstons,747,0
ranchester,523,1
beechwood,957,5
cosmos,748,5
woodbine,1252,3
hiteman,221,7
shelbyville,37,2
tolstoy,1099,2
benevolence,113,2
lindenwood,1711,7
hiteman,246,3
newfields,1367,5
cosmos,352,2
wainscott,218,9
onaga,594,2
marstons,1764,11
lindenwood,129,1
pinesdale,543,11
tolstoy,432,1
stockman,1063,3
lakeville,1730,0
forkland,780,0
woodbine,1366,6
marstons,418,2
marstons,2093,3
lindenwood,2654,1
lakeville,388,3
forkland,493,1
hiteman,1416,1
cosmos,356,2
marstons,187,8
hiteman,490,2
klickitat,188,3
forkland,458,7
tolstoy,1317,2
shelbyville,982,7
beechwood,443,4
forkland,1020,3
lindenwood,623,3
marstons,697,5
marstons,123,9
klickitat,1731,5
shelbyville,1028,3
stockman,18,1
beechwood,484,6
lakeville,1155,2
allensville,121,1
lakeville,1489,3
klickitat,899,3
leonardo,1119,6
hanson,343,9
newfields,1184,4
lakeville,1126,1
newfields,763,15
lindenwood,2032,0
woodbine,1659,1
lindenwood,1179,3
newfields,756,0
woodbine,1333,0
klickitat,1677,9
shelbyville,1165,10
leonardo,761,0
klickitat,1770,1
wainscott,28,5
benevolence,687,2
lakeville,1283,2
shelbyville,176,0
lindenwood,2250,1
woodbine,1971,0
tolstoy,1020,1
woodbine,1176,4
shelbyville,2735,2
lakeville,316,8
shelbyville,428,1
allensville,179,1
pinesdale,1416,2
ranchester,713,0
shelbyville,1687,7
ranchester,754,1
lindenwood,2577,11
woodbine,1208,15
woodbine,1951,15
marstons,1745,4
klickitat,893,2
pomaria,1027,0
tolstoy,32,0
ranchester,674,2
leonardo,1307,3
merom,179,6
pomaria,1571,6
tolstoy,523,3
tolstoy,1461,4
klickitat,1133,0
ranchester,536,3
pomaria,1328,2
tolstoy,657,2
wainscott,1627,2
coffeen,616,5
klickitat,145,0
shelbyville,1793,1
woodbine,1819,0
lindenwood,1259,7
woodbine,983,0
klickitat,1760,16
tolstoy,1080,3
leonardo,1594,1
tolstoy,1442,2
cosmos,710,3
hiteman,331,8
klickitat,587,6
klickitat,1690,1
lakeville,1152,0
shelbyville,942,4
forkland,696,3
cosmos,1002,0
shelbyville,2784,0
leonardo,1402,3
wainscott,1382,3
mifflinburg,65,1
hanson,1112,3
lakeville,958,6
pinesdale,678,6
ranchester,1208,4
klickitat,1075,0
marstons,1713,10
benevolence,511,2
ranchester,439,4
ranchester,1160,1
pomaria,95,2
hanson,847,13
mifflinburg,96,1
hiteman,1570,1
cosmos,957,3
marstons,204,2
hanson,1524,0
stockman,1599,4
shelbyville,960,0
marstons,1784,3
lakeville,1057,2
lindenwood,2451,6
marstons,2299,1
lindenwood,2364,0
leonardo,2080,5
stockman,1439,0
coffeen,541,5
klickitat,932,1
marstons,1583,8
lindenwood,895,0
newfields,1405,5
woodbine,822,1
coffeen,1450,2
pomaria,264,2
shelbyville,2797,0
wainscott,1417,0
shelbyville,2549,0
hiteman,1450,6
klickitat,1451,0
ranchester,157,12
lindenwood,160,6
lindenwood,1077,1
klickitat,2165,2
lakeville,1510,0
pinesdale,1368,5
newfields,221,0
lindenwood,1159,1
lakeville,1381,9
hiteman,1551,12
newfields,1578,2
pomaria,1008,4
onaga,677,2
pomaria,1106,4
newfields,588,1
shelbyville,2399,1
hiteman,348,9
marstons,2256,5
marstons,1159,0
pomaria,1598,3
shelbyville,1769,4
leonardo,1057,0
stockman,1132,2
beechwood,638,4
shelbyville,1856,2
lakeville,74,8
onaga,362,4
allensville,455,1
marstons,657,10
lindenwood,1216,1
newfields,693,2
stockman,269,3
leonardo,1671,14
leonardo,1556,4
wainscott,1521,0
pomaria,1290,1
marstons,753,7
marstons,2411,2
beechwood,571,0
cosmos,827,0
tolstoy,708,2
ranchester,263,2
pomaria,1359,1
hiteman,189,7
hiteman,1293,2
marstons,374,3
shelbyville,626,0
woodbine,2028,2
shelbyville,929,0
pomaria,1628,5
woodbine,1090,12
woodbine,1155,0
benevolence,704,12
klickitat,920,3
benevolence,36,4
hiteman,76,1
klickitat,843,0
klickitat,1849,12
marstons,2144,10
cosmos,347,0
wainscott,202,1
wainscott,1700,1
wainscott,955,5
ranchester,1167,0
marstons,280,0
mifflinburg,719,4
leonardo,742,5
klickitat,1463,13
tolstoy,1754,2
hiteman,366,14
wainscott,1229,3
lakeville,1042,5
shelbyville,2598,1
lakeville,765,5
hiteman,22,0
pomaria,522,1
hanson,413,2
wainscott,1700,5
lakeville,876,3
pomaria,1036,15
marstons,2244,0
lakeville,736,2
lindenwood,2042,5
tolstoy,102,0
shelbyville,1236,11
ranchester,1043,5
wainscott,798,3
marstons,2522,1
klickitat,2268,13
tolstoy,1207,0
shelbyville,697,4
lakeville,1493,3
ranchester,531,17
woodbine,1010,0
hanson,1617,16
hanson,1540,0
klickitat,1028,3
leonardo,1182,2
wainscott,1628,1
hanson,915,2
forkland,994,5
lakeville,484,4
shelbyville,2307,1
lindenwood,1396,1
stockman,1398,1
stockman,778,4
shelbyville,41,0
stockman,1494,4
mifflinburg,234,8
klickitat,1561,3
pinesdale,1013,6
woodbine,2055,0
stockman,1225,3
hanson,74,7
lakeville,1344,12
cosmos,711,6
hiteman,1245,4
lakeville,1493,15
tolstoy,1728,7
merom,800,2
shelbyville,2470,2
benevolence,457,3
shelbyville,2516,0
forkland,1183,5
pomaria,1595,3
klickitat,141,11
beechwood,1117,7
woodbine,1009,1
lakeville,190,3
hanson,410,13
shelbyville,944,3
leonardo,586,11
merom,445,4
tolstoy,643,4
wainscott,298,2
woodbine,69,2
klickitat,148,7
pinesdale,1440,5
pinesdale,756,2
leonardo,427,5
wainscott,1264,5
wainscott,1790,14
shelbyville,831,2
lindenwood,978,7
benevolence,743,12
marstons,620,6
marstons,1834,0
shelbyville,95,3
lakeville,1505,11
pinesdale,1384,1
hanson,1037,2
marstons,1921,1
tolstoy,1270,9
hiteman,648,7
lindenwood,817,4
forkland,89,0
hiteman,458,0
coffeen,1086,3
leonardo,1674,2
tolstoy,1034,0
ranchester,358,9
hanson,1098,6
forkland,906,3
woodbine,150,10
newfields,1364,1
leonardo,66,0
shelbyville,2623,7
marstons,1536,3
shelbyville,1400,14
ranchester,246,2
woodbine,1928,2
hiteman,1295,1
pinesdale,1025,2
pomaria,676,9
mifflinburg,195,4
shelbyville,2228,5
shelbyville,2402,3
lakeville,1194,2
marstons,2229,2
pinesdale,993,5
woodbine,1215,3
leonardo,93,2
pinesdale,889,4
coffeen,1149,1
lakeville,523,2
klickitat,2347,2
beechwood,419,8
hiteman,1450,1
lindenwood,632,0
beechwood,794,0
mifflinburg,48,0
shelbyville,2560,4
lakeville,520,13
wainscott,187,4
hanson,1608,9
hiteman,349,3
lakeville,954,1
marstons,2542,1
wainscott,1453,7
klickitat,2102,0
ranchester,363,2
stockman,494,1
coffeen,852,3
woodbine,1702,0
tolstoy,153,5
leonardo,932,18
klickitat,2205,5
pinesdale,1518,2
marstons,48,1
marstons,378,0
hiteman,1449,1
shelbyville,1494,7
leonardo,1336,1
marstons,359,7
pomaria,939,6
marstons,15,9
pomaria,620,2
ranchester,387,7
merom,563,3
beechwood,605,1
shelbyville,1421,2
merom,811,5
onaga,676,5
woodbine,66,6
onaga,405,0
ranchester,1290,5
woodbine,1995,5
lindenwood,1769,3
mifflinburg,320,4
woodbine,1280,5
wainscott,1139,1
lakeville,860,2
newfields,325,3
shelbyville,678,5
onaga,259,5
pomaria,95,1
stockman,1470,0
marstons,1515,7
ranchester,1141,7
lindenwood,807,0
shelbyville,1428,2
hanson,724,8
hanson,55,0
woodbine,1401,3
marstons,1135,9
lindenwood,2114,3
lindenwood,2145,4
marstons,411,10
ranchester,1231,2
leonardo,1118,2
lindenwood,2625,3
woodbine,891,0
woodbine,126,2
tolstoy,1762,1
shelbyville,438,1
onaga,399,3
woodbine,1246,5
merom,320,5
hiteman,831,0
newfields,611,8
shelbyville,1102,15
coffeen,274,6
wainscott,178,9
shelbyville,862,2
shelbyville,359,2
tolstoy,156,2
cosmos,853,3
pinesdale,1468,0
hanson,258,1
lakeville,1491,0
marstons,563,8
lindenwood,2429,3
hanson,1034,11
stockman,94,1
klickitat,2268,10
newfields,631,4
lindenwood,1669,2
pinesdale,66,5
benevolence,423,2
tolstoy,278,7
beechwood,1128,1
newfields,291,0
lindenwood,110,2
hiteman,1057,5
lakeville,1161,5
lakeville,1266,5
klickitat,774,9
merom,188,0
klickitat,1543,1
forkland,465,5
newfields,1372,5
klickitat,2124,1
lakeville,466,2
ranchester,1055,5
marstons,417,1
lindenwood,81,8
merom,517,1
klickitat,2040,7
wainscott,89,3
ranchester,645,10
cosmos,306,7
lindenwood,2378,1
pomaria,206,2
benevolence,518,0
marstons,4,4
mifflinburg,889,1
leonardo,1292,1
lindenwood,825,7
wainscott,337,9
woodbine,1027,12
hiteman,1534,2
merom,342,0
marstons,444,4
beechwood,934,7
hiteman,929,2
shelbyville,1943,7
allensville,69,3
mifflinburg,199,1
forkland,531,1
benevolence,673,7
marstons,1004,1
klickitat,2129,4
klickitat,1629,3
shelbyville,273,1
coffeen,916,2
marstons,79,1
shelbyville,384,1
mifflinburg,927,2
stockman,111,3
klickitat,1194,5
leonardo,1672,2
forkland,451,0
merom,641,3
lakeville,1586,13
pomaria,1294,16
cosmos,111,8
lindenwood,1509,0
klickitat,10,4
hanson,676,2
lindenwood,1102,4
lakeville,594,2
hiteman,335,4
lakeville,1441,0
hanson,193,1
lindenwood,1507,1
lindenwood,678,4
wainscott,984,4
pinesdale,1262,2
tolstoy,1709,8
woodbine,1381,5
pomaria,1494,5
hanson,489,3
hiteman,1777,5
lindenwood,2485,5
wainscott,1093,4
shelbyville,421,3
onaga,370,2
woodbine,1877,12
tolstoy,90,5
leonardo,1058,18
coffeen,1390,4
marstons,1001,3
pinesdale,1268,5
mifflinburg,140,8
marstons,1660,2
stockman,1514,2
hanson,1036,1
pomaria,1299,0
lindenwood,1044,2
klickitat,148,8
marstons,2538,2
tolstoy,887,13
tolstoy,1127,14
pomaria,1448,7
wainscott,916,1
pomaria,565,1
marstons,2342,6
allensville,113,7
shelbyville,454,2
beechwood,244,0
lindenwood,1403,5
marstons,627,4
marstons,2295,6
marstons,2236,3
lindenwood,837,1
lakeville,1260,2
hanson,555,11
leonardo,743,1
lindenwood,1265,2
tolstoy,1666,0
shelbyville,219,10
lindenwood,2087,3
hanson,1049,0
lindenwood,1192,4
lakeville,1472,3
shelbyville,282,14
woodbine,1374,10
hanson,1345,0
shelbyville,501,5
klickitat,1740,6
pinesdale,1056,2
onaga,157,2
klickitat,274,15
stockman,613,0
stockman,857,2
ranchester,1574,3
klickitat,1060,12
woodbine,1337,3
marstons,1377,2
forkland,250,2
hanson,376,4
shelbyville,98,5
wainscott,855,0
stockman,669,4
coffeen,626,2
newfields,698,1
tolstoy,1119,0
lakeville,1176,6
lakeville,624,2
shelbyville,1589,4
lindenwood,80,5
lakeville,1239,8
lakeville,1418,1
wainscott,1095,0
klickitat,1753,3
mifflinburg,613,0
coffeen,819,5
marstons,2358,4
lakeville,1193,9
stockman,540,7
onaga,406,2
pomaria,446,2
stockman,703,2
lindenwood,1657,1
allensville,369,1
leonardo,1968,0
forkland,649,2
beechwood,67,2
coffeen,1030,3
shelbyville,590,3
leonardo,560,11
ranchester,549,6
newfields,380,3
newfields,505,5
newfields,737,7
cosmos,951,3
newfields,1230,2
cosmos,743,4
hanson,1190,2
allensville,41,0
merom,860,0
shelbyville,1539,3
ranchester,145,1
shelbyville,2071,1
woodbine,1901,1
wainscott,415,3
newfields,16,1
hanson,736,0
hanson,62,5
lindenwood,518,7
shelbyville,1729,5
pinesdale,19,8
leonardo,862,2
stockman,636,1
leonardo,1231,7
stockman,216,6
tolstoy,738,0
klickitat,953,2
wainscott,183,6
merom,860,1
woodbine,464,1
pinesdale,1198,0
ranchester,516,3
onaga,441,3
tolstoy,392,2
hanson,475,1
marstons,284,15
tolstoy,1466,4
klickitat,2350,3
klickitat,1687,1
cosmos,813,0
woodbine,903,13
tolstoy,34,3
coffeen,913,1
marstons,1377,3
shelbyville,1192,14
newfields,1246,8
hiteman,782,1
ranchester,580,0
leonardo,951,3
ranchester,642,10
leonardo,766,4
allensville,53,9
lindenwood,343,4
tolstoy,1798,3
leonardo,636,1
hanson,56,2
wainscott,1747,6
coffeen,914,4
wainscott,724,1
hiteman,666,0
klickitat,1779,0
pomaria,597,1
pomaria,1461,2
marstons,1671,2
woodbine,1807,6
lakeville,1597,4
klickitat,2183,4
klickitat,2332,1
hanson,133,1
newfields,949,6
shelbyville,1901,10
marstons,2214,9
wainscott,879,2
pomaria,1560,12
pomaria,490,5
klickitat,1935,9
beechwood,309,8
shelbyville,2494,5
tolstoy,924,0
beechwood,328,1
lindenwood,460,7
lakeville,1017,0
woodbine,121,8
newfields,1074,3
ranchester,82,0
lindenwood,1782,12
newfields,544,2
tolstoy,1776,19
onaga,460,1
cosmos,828,2
shelbyville,234,9
lakeville,1201,7
lakeville,89,3
wainscott,948,3
mifflinburg,410,4
marstons,963,0
shelbyville,441,0
woodbine,442,1
lindenwood,536,3
marstons,2411,11
hiteman,1561,2
ranchester,949,2
klickitat,2190,7
hanson,608,6
benevolence,328,1
leonardo,537,1
ranchester,1086,4
lakeville,148,8
lakeville,472,1
lindenwood,514,2
hiteman,1069,1
lakeville,1862,14
lindenwood,1773,4
merom,50,3
hanson,325,2
lindenwood,1841,1
tolstoy,104,0
newfields,1310,5
ranchester,1049,5
ranchester,1413,4
coffeen,1453,3
leonardo,1975,0
hanson,404,0
lindenwood,836,8
pinesdale,359,4
lakeville,1320,0
marstons,137,1
marstons,1256,0
ranchester,1613,3
ranchester,912,2
woodbine,1595,4
wainscott,93,11
hanson,973,12
marstons,729,2
marstons,326,0
hanson,676,1
coffeen,456,1
lindenwood,2600,2
wainscott,593,1
hiteman,419,4
leonardo,598,3
hiteman,603,1
klickitat,458,15
lindenwood,327,10
klickitat,1014,0
pomaria,1349,0
shelbyville,1727,3
marstons,880,13
wainscott,1414,1
wainscott,1193,3
lakeville,1026,2
lindenwood,70,0
marstons,2009,3
benevolence,630,7
pomaria,74,1
wainscott,496,7
forkland,1137,6
merom,789,9
beechwood,571,9
marstons,2235,1
woodbine,1502,0
pomaria,1276,3
wainscott,1495,4
lindenwood,307,2
shelbyville,1921,6
marstons,830,2
marstons,63,5
ranchester,1229,6
woodbine,467,0
lakeville,156,3
forkland,1187,1
allensville,5,2
woodbine,878,2
pinesdale,424,0
lakeville,1473,3
tolstoy,820,7
onaga,668,0
lindenwood,2194,2
leonardo,461,3
merom,383,2
mifflinburg,442,1
marstons,734,2
klickitat,784,6
tolstoy,650,12
cosmos,227,1
hanson,392,2
newfields,747,3
lakeville,1028,2
shelbyville,1107,6
shelbyville,904,10
pomaria,1469,9
shelbyville,549,1
woodbine,625,10
klickitat,488,20
ranchester,1546,2
leonardo,516,0
lakeville,41,5
marstons,2313,13
pinesdale,31,2
tolstoy,1112,1
hiteman,363,2
pomaria,413,2
ranchester,998,1
klickitat,640,7
woodbine,1263,5
stockman,472,0
hanson,857,3
shelbyville,896,2
klickitat,68,8
mifflinburg,641,2
hiteman,1067,1
woodbine,1893,5
coffeen,108,1
mifflinburg,162,0
forkland,614,3
hiteman,372,1
hiteman,654,11
klickitat,2085,1
shelbyville,284,1
hiteman,1710,8
shelbyville,2245,3
klickitat,784,4
tolstoy,1628,0
beechwood,793,3
shelbyville,362,3
marstons,620,5
beechwood,251,2
woodbine,1489,1
ranchester,1141,6
marstons,591,4
hiteman,577,3
benevolence,942,1
mifflinburg,274,4
shelbyville,823,2
pomaria,1044,16
hanson,746,8
marstons,2614,5
hanson,1641,3
lindenwood,1542,5
coffeen,1289,4
woodbine,1970,2
marstons,514,7
shelbyville,1684,0
klickitat,954,2
shelbyville,258,0
stockman,738,1
lindenwood,572,3
mifflinburg,684,1
coffeen,246,3
shelbyville,1704,6
tolstoy,332,7
marstons,1271,1
shelbyville,1564,2
lindenwood,558,8
lindenwood,2381,4
marstons,309,0
pomaria,874,8
leonardo,254,3
leonardo,1308,6
ranchester,548,6
lindenwood,1312,5
marstons,551,11
lakeville,756,7
hanson,507,7
shelbyville,1550,9
mifflinburg,633,3
coffeen,333,2
pinesdale,1432,0
tolstoy,245,3
klickitat,1253,3
newfields,177,5
hiteman,649,0
wainscott,1796,3
pomaria,377,4
wainscott,223,2
coffeen,301,6
tolstoy,1594,8
klickitat,2049,16
marstons,1136,2
coffeen,1003,0
lindenwood,534,4
hiteman,1047,1
shelbyville,1595,13
coffeen,889,0
wainscott,721,15
tolstoy,1773,4
wainscott,977,3
shelbyville,1031,5
tolstoy,215,1
merom,635,9
tolstoy,209,2
ranchester,650,3
beechwood,0,5
pomaria,103,0
woodbine,2013,1
woodbine,240,1
wainscott,240,11
leonardo,170,14
cosmos,738,9
lakeville,1105,3
shelbyville,2443,0
stockman,694,2
hiteman,1844,1
cosmos,121,0
hiteman,738,3
hiteman,1193,4
forkland,718,1
leonardo,202,2
woodbine,92,4
klickitat,945,0
benevolence,119,4
klickitat,1398,0
stockman,69,0
pinesdale,1410,4
pomaria,330,1
leonardo,1381,3
klickitat,1787,2
lindenwood,1394,5
hanson,393,0
pinesdale,1214,12
shelbyville,142,13
forkland,1162,2
lakeville,1184,5
hiteman,1758,5
marstons,2256,2
newfields,1285,5
pomaria,944,4
stockman,926,2
marstons,37,7
lakeville,1123,1
ranchester,614,5
woodbine,1393,6
hiteman,24,7
hanson,1366,3
pomaria,571,1
pinesdale,508,0
pomaria,263,6
woodbine,1520,3
lakeville,415,4
coffeen,66,3
lakeville,1024,4
lindenwood,1631,1
newfields,812,9
hanson,835,6
tolstoy,416,0
lindenwood,1130,1
hanson,298,2
newfields,588,4
woodbine,1659,2
ranchester,1330,6
hiteman,522,3
lakeville,868,1
lindenwood,683,12
allensville,176,0
klickitat,1648,2
shelbyville,2736,13
hiteman,644,0
newfields,159,0
coffeen,1433,1
allensville,179,4
wainscott,1329,9
shelbyville,205,0
hanson,511,2
pinesdale,993,4
lakeville,701,3
ranchester,1509,1
forkland,387,1
wainscott,973,0
pomaria,1560,8
ranchester,154,8
marstons,1757,12
lakeville,637,3
newfields,1426,1
merom,154,1
hanson,1055,15
shelbyville,534,13
wainscott,248,3
coffeen,1419,1
shelbyville,652,1
pinesdale,1124,1
hiteman,872,5
hanson,215,9
beechwood,1126,2
marstons,1310,2
leonardo,1777,5
cosmos,382,4
hanson,1202,10
hanson,95,4
wainscott,1100,4
shelbyville,2134,0
leonardo,2042,13
cosmos,90,1
beechwood,597,5
stockman,1097,3
pomaria,416,10
shelbyville,562,5
hanson,977,2
lindenwood,1925,0
woodbine,1591,9
tolstoy,1503,2
ranchester,1317,1
newfields,1286,15
lindenwood,1856,1
woodbine,89,0
lindenwood,1651,12
woodbine,295,14
klickitat,1157,0
stockman,1537,1
leonardo,1430,4
woodbine,544,0
wainscott,776,1
lakeville,46,2
coffeen,60,0
stockman,1387,1
ranchester,320,3
wainscott,449,8
wainscott,102,1
klickitat,1537,2
cosmos,693,3
hiteman,816,1
mifflinburg,303,2
shelbyville,930,1
beechwood,398,3
shelbyville,20,0
lindenwood,907,6
klickitat,920,4
shelbyville,496,3
merom,70,5
woodbine,2040,10
lindenwood,1519,4
klickitat,1770,6
cosmos,82,4
woodbine,469,4
wainscott,1498,2
hiteman,229,5
klickitat,2121,2
beechwood,411,3
hanson,856,9
leonardo,1367,7
lindenwood,1516,0
lakeville,98,9
lindenwood,70,7
shelbyville,2710,9
lakeville,1720,4
pinesdale,639,0
wainscott,851,3
shelbyville,1853,1
klickitat,375,3
newfields,330,4
newfields,1388,2
klickitat,1757,4
pomaria,1221,2
marstons,2369,3
coffeen,897,0
ranchester,1151,4
leonardo,1935,8
onaga,528,1
stockman,122,1
pinesdale,353,2
allensville,438,2
merom,201,2
forkland,1150,1
stockman,259,0
merom,286,1
shelbyville,2690,1
klickitat,1186,6
lakeville,178,5
klickitat,2171,3
hiteman,592,2
stockman,513,5
lakeville,852,1
marstons,2339,1
coffeen,228,1
klickitat,20,2
beechwood,226,1
hiteman,1507,2
klickitat,1459,3
wainscott,269,10
wainscott,5,2
marstons,1648,5
hiteman,271,14
wainscott,1563,2
coffeen,616,6
lindenwood,1661,6
hiteman,948,1
beechwood,695,3
klickitat,1511,1
forkland,553,0
klickitat,2012,13
tolstoy,119,0
stockman,501,2
wainscott,1598,8
pomaria,103,6
stockman,1481,6
lakeville,284,17
mifflinburg,168,3
coffeen,821,1
klickitat,2266,2
leonardo,948,2
lindenwood,2164,4
pomaria,1297,1
beechwood,929,6
woodbine,388,6
shelbyville,1417,0
forkland,265,3
tolstoy,1398,0
mifflinburg,730,0
shelbyville,550,14
shelbyville,1726,4
klickitat,947,0
lindenwood,464,0
allensville,467,2
newfields,289,4
hanson,1538,2
cosmos,412,1
pinesdale,554,3
cosmos,755,1
lindenwood,527,8
pomaria,778,3
hiteman,172,1
hanson,1650,3
wainscott,789,7
woodbine,1330,5
pomaria,1147,5
pomaria,846,13
shelbyville,1443,6
stockman,480,1
wainscott,8,4
marstons,692,0
beechwood,1092,2
forkland,1148,10
newfields,517,4
merom,855,2
wainscott,369,4
marstons,487,3
lindenwood,1798,3
lakeville,806,0
shelbyville,921,1
woodbine,140,3
shelbyville,2794,2
woodbine,213,0
hanson,207,10
lakeville,1558,0
forkland,90,2
lindenwood,2604,9
wainscott,1390,1
forkland,142,0
hanson,1021,10
cosmos,523,4
allensville,470,3
hanson,806,4
shelbyville,1257,9
woodbine,1231,1
shelbyville,571,2
wainscott,1502,9
hiteman,1580,2
pomaria,883,5
forkland,742,3
lakeville,1115,0
hiteman,1641,1
newfields,1145,4
newfields,603,7
newfields,1161,2
mifflinburg,308,4
lakeville,1635,3
shelbyville,1412,4
lakeville,62,9
hanson,1106,8
ranchester,405,2
lakeville,384,4
allensville,475,2
klickitat,484,9
merom,485,9
marstons,2008,1
tolstoy,1290,8
pomaria,1260,3
marstons,2295,1
ranchester,961,4
wainscott,811,9
hiteman,623,5
pinesdale,152,3
shelbyville,501,2
leonardo,219,3
coffeen,393,0
lindenwood,1659,1
wainscott,1201,11
onaga,580,5
pomaria,701,13
marstons,1670,10
beechwood,22,3
shelbyville,506,5
allensville,158,2
shelbyville,490,3
coffeen,547,1
lindenwood,1818,0
marstons,325,2
lakeville,126,7
klickitat,1598,3
beechwood,483,1
shelbyville,1610,0
hiteman,888,2
shelbyville,2418,0
ranchester,827,1
lakeville,332,6
lindenwood,254,8
pomaria,463,7
leonardo,1597,4
coffeen,1414,3
woodbine,1166,1
hiteman,1375,8
leonardo,989,9
hiteman,1271,3
forkland,567,3
wainscott,382,11
marstons,2557,0
forkland,828,2
mifflinburg,447,9
beechwood,972,1
hanson,1018,2
hanson,852,5
beechwood,281,6
woodbine,297,7
beechwood,1081,0
newfields,1205,2
leonardo,424,0
marstons,538,6
ranchester,329,1
marstons,1124,2
coffeen,1281,1
leonardo,1792,4
newfields,1286,14
lindenwood,1498,6
lakeville,503,3
pomaria,363,1
shelbyville,2734,4
wainscott,1248,0
pomaria,308,0
leonardo,1423,9
hanson,1193,0
woodbine,85,2
marstons,874,4
coffeen,704,8
hiteman,1300,8
marstons,821,10
tolstoy,1503,1
onaga,365,3
hiteman,1199,2
klickitat,516,5
klickitat,37,12
cosmos,756,1
wainscott,377,0
cosmos,610,0
wainscott,883,12
tolstoy,456,13
woodbine,1391,3
tolstoy,484,2
woodbine,1212,2
hiteman,1833,7
tolstoy,1642,2
ranchester,124,6
marstons,1406,0
tolstoy,122,0
stockman,993,6
newfields,1658,3
leonardo,326,5
benevolence,603,10
klickitat,299,1
beechwood,736,2
hiteman,1159,3
ranchester,42,1
pomaria,868,2
pomaria,870,0
woodbine,360,9
shelbyville,750,12
hanson,888,2
merom,324,2
tolstoy,1077,8
lakeville,796,6
marstons,2277,5
shelbyville,1702,2
lakeville,1142,4
klickitat,1875,4
lindenwood,550,1
marstons,2305,3
shelbyville,378,3
forkland,720,2
leonardo,1510,2
marstons,1297,4
woodbine,356,1
lakeville,1691,1
shelbyville,291,0
cosmos,67,0
wainscott,1273,4
stockman,411,2
marstons,1850,0
woodbine,1663,1
leonardo,768,4
leonardo,1971,16
shelbyville,1263,0
tolstoy,511,14
pomaria,1199,1
hiteman,798,3
lindenwood,1734,1
shelbyville,794,3
pinesdale,1408,0
lindenwood,982,11
klickitat,1873,7
lakeville,1799,21
merom,337,1
mifflinburg,362,5
onaga,420,1
klickitat,1877,8
klickitat,553,4
stockman,16,6
hanson,1106,4
shelbyville,2075,0
lakeville,944,1
mifflinburg,221,1
newfields,513,4
woodbine,2049,10
shelbyville,2388,8
klickitat,1632,6
marstons,1811,3
stockman,1154,3
klickitat,498,8
marstons,1007,6
klickitat,354,9
cosmos,384,0
pinesdale,740,7
klickitat,467,6
shelbyville,666,1
tolstoy,1466,3
lindenwood,233,1
shelbyville,1530,4
klickitat,2351,8
lindenwood,1896,8
klickitat,1361,6
stockman,824,4
woodbine,1973,2
marstons,2153,0
hiteman,1450,3
cosmos,500,12
mifflinburg,718,10
lindenwood,1304,2
coffeen,640,2
leonardo,2086,8
marstons,1750,3
hanson,1489,8
woodbine,83,0
cosmos,949,7
cosmos,465,3
tolstoy,1405,3
pomaria,1610,3
pomaria,408,1
stockman,1431,4
wainscott,1348,1
shelbyville,2688,3
cosmos,578,5
cosmos,553,9
shelbyville,663,1
stockman,1277,0
lakeville,697,10
wainscott,1474,7
shelbyville,1541,4
hiteman,1020,6
shelbyville,280,3
woodbine,1902,15
newfields,1343,0
hiteman,400,7
shelbyville,997,0
hiteman,547,0
tolstoy,722,0
shelbyville,2036,6
leonardo,1673,14
marstons,2179,3
onaga,348,2
newfields,419,3
tolstoy,621,1
forkland,964,2
ranchester,619,4
klickitat,2258,7
newfields,493,6
mifflinburg,400,2
beechwood,551,2
wainscott,513,9
wainscott,1161,6
benevolence,604,13
pomaria,226,3
merom,1049,2
newfields,1537,4
wainscott,598,5
woodbine,1502,8
wainscott,1708,10
newfields,1362,5
klickitat,2198,6
leonardo,531,0
lindenwood,2573,3
ranchester,596,5
leonardo,335,1
tolstoy,1206,0
tolstoy,1693,8
merom,104,4
shelbyville,970,2
marstons,170,3
coffeen,233,1
lindenwood,965,2
klickitat,448,6
marstons,450,5
stockman,321,2
ranchester,145,0
cosmos,350,8
beechwood,65,2
ranchester,607,8
